set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.843462 0.0963759

0.888265 0.179276
0.855176 0.0897463

0.442547 0.165695
0.45751 0.18791

0.742743 0.0935031
0.62155 0.124542

0.829236 0.372565
0.803719 0.290237

0.84712 0.239164
0.84702 0.239911

0.420009 0.231417
0.439954 0.235935

0.692214 0.110189
0.639758 0.13355

0.0558705 0.884584
0.0732063 0.863487

0.53224 0.180171
0.531939 0.180616

0.11907 0.167642
0.162262 0.173999

0.237767 0.439812
0.212799 0.382562

0.739752 0.233704
0.741795 0.232525

0.156698 0.133891
0.167472 0.135735

0.376841 0.371439
0.374513 0.368927

0.262493 0.173444
0.263833 0.175764

0.322682 0.151771
0.366761 0.170786

0.262493 0.173444
0.262161 0.174792

0.101477 0.290866
0.101934 0.291771

0.934616 0.23091
0.895954 0.262577

0.192309 0.287624
0.183745 0.2948

0.828236 0.318044
0.825998 0.318229

0.451027 0.0648533
0.494406 0.259825

0.222686 0.338349
0.234087 0.324693

0.870336 0.403522
0.862213 0.402705

0.144084 0.25447
0.160529 0.242397

0.611269 0.17101
0.610868 0.171081

0.641455 0.210406
0.333716 0.252521

0.55262 0.0990851
0.576053 0.128449

0.464653 0.130678
0.44704 0.129498

0.658334 0.081966
0.584786 0.100464

0.345399 0.25632
0.347202 0.255316

0.530705 0.256432
0.552416 0.285256

0.497443 0.199152
0.521805 0.241106

0.820563 0.278088
0.730964 0.293282

0.671364 0.255543
0.820563 0.278088

0.078647 0.276294
0.0908962 0.278835

0.278997 0.0228146
0.224653 0.0915702

0.820436 0.254173
0.821191 0.254995

0.9714 0.168127
0.919272 0.197838

0.803707 0.29037
0.833738 0.268478

0.0462656 0.0436745
0.0585185 0.0476652

0.219427 0.38627
0.17103 0.468645

0.0462656 0.0436745
0.217443 0.398475

0.257109 0.0741618
0.397381 0.103358

0.280292 0.366675
0.275199 0.302416

0.730964 0.293282
0.692947 0.299729

0.280292 0.366675
0.287686 0.366959

0.250698 0.399669
0.2319 0.407438

0.400049 0.0601863
0.396341 0.0686133

0.705273 0.428124
0.694759 0.418004

0.732255 0.436677
0.732017 0.436602

0.438437 0.176925
0.431358 0.215353

0.148658 0.529203
0.157456 0.527991

0.398714 0.392567
0.185072 0.51107

0.433737 0.0366524
0.43325 0.0375801

0.931507 0.197208
0.940026 0.190997

0.936535 0.0692705
0.931507 0.197208

0.326033 0.393886
0.332249 0.390581

0.232177 0.339304
0.222686 0.338349

0.115324 0.470166
0.232177 0.339304

0.280767 0.168115
0.278672 0.17194

0.408293 0.269902
0.405711 0.267841

0.216828 0.457025
0.216298 0.457237

0.408293 0.269902
0.403486 0.275026

0.431358 0.215353
0.411048 0.325612

0.43502 0.0414305
0.434667 0.0581821

0.259601 0.170534
0.259803 0.170385

0.859328 0.249823
0.879237 0.235311

0.806186 0.0861206
0.814024 0.110265

0.582237 0.161119
0.580456 0.159739

